   3
0.859894, 0.545776, 0.785507, 0.162384, 0.626266, 0.231445, 0.790863, 0.506165, 0.027390, 0.250214, 0.345703, 0.221451, 0.181412, 0.407654, 0.909424, 0.085220, 57.248993
0.884094, 0.960022, 0.937180, 0.218246, 0.564194, 0.387207, 0.479584, 0.144363, 0.532364, 0.176025, 0.751373, 0.310547, 0.432114, 0.722122, 0.357193, 0.862152, 90.922638
0.529526, 0.738510, 0.404205, 0.940643, 0.226089, 0.447067, 0.190979, 0.696793, 0.849182, 0.983185, 0.671738, 0.263046, 0.572357, 0.488846, 0.925690, 0.358780, 39.669220
0.921463, 0.132187, 0.063522, 0.648926, 0.497253, 0.574188, 0.684158, 0.747528, 0.482391, 0.902191, 0.803909, 0.764084, 0.873154, 0.952133, 0.741806, 0.974533, 95.591171
0.054123, 0.164474, 0.587219, 0.504578, 0.019562, 0.750153, 0.826172, 0.951767, 0.530869, 0.261948, 0.095795, 0.461685, 0.503601, 0.082047, 0.836578, 0.115906, 73.976624
0.616943, 0.973557, 0.366974, 0.237228, 0.220596, 0.907959, 0.178955, 0.063889, 0.609863, 0.770386, 0.404449, 0.331284, 0.619766, 0.200150, 0.095306, 0.992920, 54.210052
0.445663, 0.847229, 0.358170, 0.049667, 0.078506, 0.172485, 0.384155, 0.409241, 0.698502, 0.802322, 0.928131, 0.452560, 0.870712, 0.858353, 0.569199, 0.285690, 73.392166
0.123734, 0.469711, 0.089600, 0.195999, 0.954651, 0.093384, 0.781967, 0.545166, 0.527695, 0.902557, 0.749237, 0.216782, 0.657928, 0.348877, 0.018341, 0.078262, 57.322525
0.304688, 0.807068, 0.123489, 0.047836, 0.383179, 0.846741, 0.014420, 0.328232, 0.346313, 0.463638, 0.878616, 0.467789, 0.894272, 0.467911, 0.948959, 0.882401, 36.440384
0.715866, 0.255585, 0.439484, 0.081558, 0.617813, 0.325134, 0.479095, 0.800613, 0.381241, 0.971725, 0.187271, 0.782700, 0.310791, 0.260239, 0.580154, 0.988907, 56.374298
0.026901, 0.031448, 0.086182, 0.727234, 0.497864, 0.941376, 0.304214, 0.025803, 0.851761, 0.272278, 0.603683, 0.418777, 0.339203, 0.143265, 0.008926, 0.148499, 85.104919
0.005249, 0.289093, 0.806946, 0.037552, 0.601852, 0.192200, 0.556183, 0.887146, 0.577240, 0.051376, 0.594147, 0.653076, 0.575409, 0.481049, 0.425629, 0.776749, 49.455963
0.567856, 0.840363, 0.795624, 0.670273, 0.669296, 0.481781, 0.660004, 0.012955, 0.859467, 0.827026, 0.568954, 0.395065, 0.979645, 0.726395, 0.833786, 0.842438, 55.293350
0.872971, 0.256805, 0.548874, 0.918350, 0.577484, 0.129501, 0.704132, 0.005493, 0.242218, 0.728455, 0.888489, 0.428802, 0.448654, 0.120682, 0.118118, 0.954041, 66.812805
0.262619, 0.423920, 0.011124, 0.414139, 0.886047, 0.585037, 0.551437, 0.019928, 0.976715, 0.413879, 0.026657, 0.484573, 0.386597, 0.315506, 0.533707, 0.699478, 58.836227
0.483307, 0.214706, 0.118851, 0.407166, 0.003174, 0.984390, 0.999878, 0.054672, 0.445724, 0.808167, 0.803177, 0.373459, 0.260727, 0.798904, 0.646866, 0.239426, 32.033920
0.041870, 0.508133, 0.152405, 0.423065, 0.768921, 0.185684, 0.103012, 0.110168, 0.383667, 0.502991, 0.355484, 0.096527, 0.008560, 0.953186, 0.999634, 0.132797, 68.952713
